Program,URL,Type,Organization Type,Target,Cost,Detailed Location,Location,Underrepresented,Gender,Race/Ethnicity,Community,Objective,Level,Cost,Pre-recs,Duration
Fairleigh Dickinson University AI Camp,https://www.fdu.edu/academics/centers-institutes/petrocelli-center/pre-college/,Summer Camp,University,High,$775 per course,Fairleigh Dickinson University,NJ,,,,,"Fairleigh Dickinson University’s Summer Pre-College Program offers motivated students in grades 9 to 12 the opportunity to get a jump-start on earning college credits through engaging, interactive online courses.",Grades 10-12,$775 per course,,2-4 weeks
New Jersey Scholars Program,http://www.newjerseyscholarsprogram.org/wordpress/,Summer Camp,Non-Profit,High,Free,New Jersey,NJ,,,,,"The mission of the New Jersey Scholars Program is to reach out to able and enthusiastic students who come from a broad cross-section of the state’s population. The program creates an intense, interdisciplinary intellectual experience that will change students’ lives by teaching them to think in a new way — relating disciplines instead of dividing them. Scholars participate in lectures and small-group seminars where they actively engage with the disciplines. They also have extensive reading assignments, and pursue research at world class libraries and museums. They write essays and work closely with a faculty member to produce a 10-15 page interdisciplinary research paper. They are also stretched as they hone their creative talents in art, music, writing, drama and public speaking by contributing to an Arts Festival that is thematically related to the Program topic.",Grade 12,Free,Be a resident of New Jersey,5 weeks
Introduction to Robotics with VEX IQ,https://store.robotrevolution.net/,Summer Camp,Private,"Elementary, Middle",$420-$800,New Jersey,NJ,,,,,New students need to take the Introduction to VEX IQ class in Summit or Edison. This is a 1/2 day 2 week class.  This is an exciting class for the kids from building their first robot to solving challenges with programming and then finally solving challenges with mechanics and programming.  The first week the kids learn programming by solving a series of challenges that progress them through robot behaviors as it relates to programming.  The second week the focus is on building and applying the programming to a specific challenge.  It's a lot of fun and through the course of the class the kids learn the fundamentals of building and programming the VEX IQ robot giving them a great basis to join a competition team in the fall if they chose.,Grades 4-8,$420-$800,,2 weeks
New Jersey Governor's School of Engineering and Technology,http://soe.rutgers.edu/new-jersey-governors-school-engineering-technology,Summer Camp,University,High,Free,Rutgers University,NJ,,,,,"The New Jersey Governor's School of Engineering & Technology at Rutgers University is an intensive residential summer program that brings together some of New Jersey's most talented and motivated high school students. Free of grades and official credit, students spend part of the summer following their junior year studying on the campus of the Rutgers University School of Engineering at no cost to their families. During the program, students will have the opportunity to collaborate with two to four students on a novel research project which will be showcased in a conference-style final paper and presentation in front of hundreds of invited guests at our research symposium.  Additionally, students will be able to participate in a variety of life-skills workshops, attend site visits to local corporations, and engage in activities that will help them connect with professors, professionals, and peers from throughout the state.",Grade 11,Free,,4 Weeks
Young Women in Computing,https://ywic.nmsu.edu/,Summer Camp,University,"Middle, High",Free,Virtual,"NM,  Virtual",Underrepresented,Female,,,"Young Women in Computing (YWiC) offers fun and engaging activities for students. Our primary goal is to share the creativity of computing through hands-on tasks and project-based learning. We want all young women and men throughout our region to realize their potential for becoming a true creator of technology, and not just a user!",Middle and High School Students,Free,,1-2 weeks
CS Adventures Virtual Program (on pause),https://www.cs.nmsu.edu/wp/outreach/summercamps/,Summer Camp,University,High,Free,Virtual,"NM, Virtual",,,,,"Join this fun and elite computer camp, and become a creator of new technologies and programming! This camp provides a broad foundation for computer science, to empower our area high school students in CS and computational thinking.",High School,Free,,12 days
Columbia University - AI4ALL,http://ai-4-all.org/summer-programs/,Summer Camp,Non-Profit,High,Free,*Columbia,NY,Underrepresented,,,,"AI is everywhere. Help create the future by learning how to use AI to solve problems you care about. At AI4ALL Summer Programs, you’re immersed in hands-on learning, mentorship by top AI practitioners, and supportive peer networks at top universities.",Grade 10-11,Free,,3 weeks
"Understanding Blockchain, AU, & Machine Learning",https://precollege.sps.columbia.edu/highschool/summer-immersion-new-york-city/courses/1-week/understanding-blockchain-ai-and-machine-learning,Summer Camp,University,High,2546.0,*Columbia,NY,,,,,"This course provides an overview of the world of blockchain, AI, and machine learning. We explore artificial intelligence and machine learning and seek to understand the philosophical and ethical issues, relationship with consciousness and self-awareness, the categories and applications of the different families of AI algorithms, and what challenges and opportunities lie in the future. We then open the hood and look inside blockchain to see what it is, how it has evolved, and where it is headed, including Bitcoin and cryptocurrency. We examine how these technologies will impact the future of work. Students are encouraged to think about the impact of these technologies on society and how they might become leaders and shapers in these fields.",High School,2546.0,,5 days
Cornell - Introduction to Robotics with Arduino,https://www.sce.cornell.edu/sc/programs/index.php?v=199,Summer Camp,University,High,1575.0,*Cornell,NY,,,,,Cornell University's precollege programs give high school students the chance to benefit from an Ivy League education before they apply to or attend college.,Grade 10-12,1575.0,,3 weeks
NYU Tandon Machine Learning,https://engineering.nyu.edu/academics/programs/k12-stem-education/open-access-programs/machine-learning,Summer Camp,University,High,2000.0,*NYU,NY,,,,,"NYU Tandon's Summer Program for Machine Learning is a two-week online summer program that introduces high school students to the computer science, data analyses, mathematical techniques, and logic that drive the fields of machine learning (ML) and artificial intelligence (AI). People are experiencing new and always improving applications of these fields every day: in video and image recognition technologies; interactive voice controls for homes; autonomous vehicles; real-time monitoring and traffic control; cutting-edge diagnostic medical technologies; and in ever more aspects of our daily lives.",High School,2000.0,"3.0 minimum GPA, completion of Algebra II",2 weeks
